experiment_dir,exp_name,task_type,model,dataset,config_seed,config_hash,markers,result_files,audit_status,notes
exp/ae_mnist_relu_20260407_021649_e7d469e3,ae_mnist_relu,classification,BaselineAE,mnist,45,e7d469e3bc6a255a979535b59afd6dd5c4017aa4aa2611fb5de225c3d83fda58,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_matched_20260408_161800_f068e27e,ae_mnist_relu_matched,classification,BaselineAE,mnist,1234,f068e27e196c933e25c0962fff3dde98b9d06fe392f30230df033f1c1f5d0a80,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_matched_20260408_161800_fbee69f1,ae_mnist_relu_matched,classification,BaselineAE,mnist,42,fbee69f17e499f9ba5c8aaa30ca309dd50b88ccb176ce27b27a18361a9bcfa84,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_matched_20260408_161807_b3ce4d85,ae_mnist_relu_matched,classification,BaselineAE,mnist,43,b3ce4d85634aae48e69e0155f4c5537cd4dadeb14d9fce17c977d13ab5926b4b,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_matched_20260408_161810_917063df,ae_mnist_relu_matched,classification,BaselineAE,mnist,44,917063df0c155053106b74256c5d61b2c83c6009f5bfffc83132997c82487cdf,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_relu_matched_20260408_161818_0f99f695,ae_mnist_relu_matched,classification,BaselineAE,mnist,45,0f99f695ef03255d608246763af9420b30dbebbceeb482b43247b83521cf29f9,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l16_20260408_053921_f2e47097,ae_mnist_scale_2arg_l16,classification,InnerNetAE,mnist,1234,f2e47097edb90ebfac5fe217b693886ae93e5c7032a656436d8c79dfc4ad833b,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l16_20260408_054510_2dd330d8,ae_mnist_scale_2arg_l16,classification,InnerNetAE,mnist,42,2dd330d8f0f091c445baea17f18f760d209472854fdaa5f51cee1de8c9f1b2e0,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l16_20260408_054935_414bb60b,ae_mnist_scale_2arg_l16,classification,InnerNetAE,mnist,43,414bb60ba4e090dc4d914f020fef6c8483011abbf4b5d487108fd0a9a7c99d9c,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l32_20260408_055027_0e38c6a6,ae_mnist_scale_2arg_l32,classification,InnerNetAE,mnist,1234,0e38c6a6ab5f6360fc0c9c59b1bb3cef2c9f8d531896360179580eafd460db95,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l32_20260408_055058_1cbadd41,ae_mnist_scale_2arg_l32,classification,InnerNetAE,mnist,42,1cbadd417d6f5cc60e00ed8da62dbb7e6282ca8baf4681db1e14e4d9c381c969,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l32_20260408_055422_a4ea3f8e,ae_mnist_scale_2arg_l32,classification,InnerNetAE,mnist,43,a4ea3f8e75b3ec73bfde4385734964b71335a28163662e8be9b71d6294d3444e,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l64_20260408_055545_6b81f3a3,ae_mnist_scale_2arg_l64,classification,InnerNetAE,mnist,1234,6b81f3a32a5248ca76b484d106585fc18972454f3bafd329a0bb13ef924359d3,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l64_20260408_055705_1be17f81,ae_mnist_scale_2arg_l64,classification,InnerNetAE,mnist,42,1be17f81337fda66a15823d7750517a6550c80a2bda071ecaf266a751d183564,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l64_20260408_055808_33d931f3,ae_mnist_scale_2arg_l64,classification,InnerNetAE,mnist,43,33d931f3e18b8768ecdad0f06d50b5e4317fdfecafadb592d8eaaa41006bb4ce,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l8_20260408_060059_e71c7a1a,ae_mnist_scale_2arg_l8,classification,InnerNetAE,mnist,1234,e71c7a1aca40141269d3bc57b26c9320d316bbaf45a4ae3dd0d8735450f8b3ef,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l8_20260408_060143_4ab94e24,ae_mnist_scale_2arg_l8,classification,InnerNetAE,mnist,42,4ab94e240358a5ededaefeb6dd52b87dc8025a72b5e18fc861f18d751f781ed8,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_2arg_l8_20260408_060313_ffa3d364,ae_mnist_scale_2arg_l8,classification,InnerNetAE,mnist,43,ffa3d364521c077f3c0ac1408791ab6ba2c5ccdadbc1d00c27fbfb5fe94e38a1,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l16_20260408_060516_d3850736,ae_mnist_scale_relu_l16,classification,BaselineAE,mnist,1234,d3850736a1e8d4c683107794884e445fa2c82b551dae90a11f62ab9d2f496d38,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l16_20260408_060618_9d7cab10,ae_mnist_scale_relu_l16,classification,BaselineAE,mnist,42,9d7cab1031632c121a069fbd937cb10bb3395b6c4a875e1e535534962416378a,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l16_20260408_060835_6ee1a829,ae_mnist_scale_relu_l16,classification,BaselineAE,mnist,43,6ee1a829bcf77f13cb1157666c9af9c04166b3dbc4ba8219570b66636a41511f,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l32_20260408_060923_88e477a5,ae_mnist_scale_relu_l32,classification,BaselineAE,mnist,1234,88e477a5d53275c30b831f92ff23a65a752c1027edb7491ba7eb507dd2f1473d,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l32_20260408_061114_a641ec8a,ae_mnist_scale_relu_l32,classification,BaselineAE,mnist,42,a641ec8a99cc6b2e06c663b85831153f517ae3af06a453f9b0652a4100a8c42c,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l32_20260408_061152_26dcfc29,ae_mnist_scale_relu_l32,classification,BaselineAE,mnist,43,26dcfc29030f9a77445b994dcb5422f5e2f0b37b0463f0c6b7eb32800a9a0a97,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l64_20260408_061504_428ac738,ae_mnist_scale_relu_l64,classification,BaselineAE,mnist,1234,428ac738acf23f990b181ca70f5e2d858ef0902dbe650886f47c6a69fde29adb,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l64_20260408_061513_47aa1b45,ae_mnist_scale_relu_l64,classification,BaselineAE,mnist,42,47aa1b45d5bdfea0544811f9b0065d69280e08fde6e5dba57651310a6c509855,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l64_20260408_061607_999bfa08,ae_mnist_scale_relu_l64,classification,BaselineAE,mnist,43,999bfa083757752f050b2299a2d8d0cb2d5aa501144634b2238e4548adb56d77,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l8_20260408_061834_8b79ad85,ae_mnist_scale_relu_l8,classification,BaselineAE,mnist,1234,8b79ad853bcabb5ef512c95267fc7494b6ad81353a9d36784e9c03995224fc68,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l8_20260408_062055_4f6cf1db,ae_mnist_scale_relu_l8,classification,BaselineAE,mnist,42,4f6cf1db123e5a7658e9fba8a36a72cdc2d364d6f86dd0550287676108555dc5,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/ae_mnist_scale_relu_l8_20260408_062104_0306b822,ae_mnist_scale_relu_l8,classification,BaselineAE,mnist,43,0306b822cf8866b3aab5ca7f469266eb183b8877593d5ae54d16fa4cd84bff98,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_2arg_20260407_235740_43e34778,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,1234,43e34778fd5eca99e1810fdfc3c390961e7a5da0f7c21a44b4cd3122f15c2907,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_2arg_20260407_235740_8595ce4a,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,42,8595ce4ab3c821fad9886460787c2999ae05638b22fc0f3a3ab7ba14ccef423e,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_2arg_20260407_235801_caea5a71,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,43,caea5a71d8ce983d19d3515017fa051748a107173cfddb87d19ad8ff95de57ec,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE,,incomplete,
exp/cnn_cifar100_big_2arg_20260407_235849_3cf09564,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,44,3cf095644c6c9854c3693f2faea41d88e9dd78324ca14ed91bd45e2a1eeade73,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE,,incomplete,
exp/cnn_cifar100_big_2arg_20260407_235926_9b1ad3af,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,45,9b1ad3af0d039cc95e7c0d684e7591cb478bf34eed1a2e44d0a9308b87a955c7,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE,,incomplete,
exp/cnn_cifar100_big_2arg_20260408_192712_3cf09564,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,44,3cf095644c6c9854c3693f2faea41d88e9dd78324ca14ed91bd45e2a1eeade73,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_2arg_20260408_192712_9b1ad3af,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,45,9b1ad3af0d039cc95e7c0d684e7591cb478bf34eed1a2e44d0a9308b87a955c7,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_2arg_20260408_192712_caea5a71,cnn_cifar100_big_2arg,classification,XorNeuronConv,cifar100,43,caea5a71d8ce983d19d3515017fa051748a107173cfddb87d19ad8ff95de57ec,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_relu_20260407_013219_e0949752,cnn_cifar100_big_relu,classification,BaselineCNN,cifar100,1234,e0949752712104365fe2f45471b42b4438040be6cf82b6d27d458bcd04d09c61,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_relu_20260407_013754_24f63111,cnn_cifar100_big_relu,classification,BaselineCNN,cifar100,42,24f63111ceb01bdf2e3d915ceb55ce2363a9687586804dd57307470a1f01e711,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_relu_20260407_014036_1a628f4b,cnn_cifar100_big_relu,classification,BaselineCNN,cifar100,43,1a628f4bfe28a99764363d277496e55f439045e781f634db70992a0b445a5830,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_relu_20260407_014133_4cd7f1bf,cnn_cifar100_big_relu,classification,BaselineCNN,cifar100,44,4cd7f1bfc6d6697335f3d576db5d9f7793788d9f357650bede243c11535d973b,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_big_relu_20260407_014520_bf9b92bb,cnn_cifar100_big_relu,classification,BaselineCNN,cifar100,45,bf9b92bb64142abccfa852124167c7e99b29e677263184a5e98ce7e0dff36937,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_swiglu_20260410_011647_f63feb1d,cnn_cifar100_swiglu,classification,SwiGLUCNN,cifar100,43,f63feb1d54b97f0ccd98a8af42e1aa5592c809beb9962027ab72ee682eec0766,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_swiglu_20260410_011648_8d7e2a11,cnn_cifar100_swiglu,classification,SwiGLUCNN,cifar100,42,8d7e2a11444a3452d9dcd4f1baeeb533eee11cf2df8c9355cbcde036f57c106a,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_swiglu_20260410_011648_adbe7f38,cnn_cifar100_swiglu,classification,SwiGLUCNN,cifar100,1234,adbe7f387560c985c5fdf9ace147cabff5f2326014175af35ac5dcf0f615b115,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_swiglu_20260410_013118_59f1aa87,cnn_cifar100_swiglu,classification,SwiGLUCNN,cifar100,44,59f1aa870289e9cf926a6415bf317d3de6fdd2cf669c81ae90e705ba01e9e6db,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar100_swiglu_20260410_013418_397a214c,cnn_cifar100_swiglu,classification,SwiGLUCNN,cifar100,45,397a214cda379967c4a16eb7e6e877057221cf50fc01db0008859b5c49ee4193,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_1arg_20260305_085313_aab2d5a5,cnn_cifar_1arg,classification,XorNeuronConv,cifar10,1234,aab2d5a583826f50e62e19ac73feb8e5bb48e21c7d293ef75bc3e4f2bf4c9b9d,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_1arg_20260404_171122_19f41095,cnn_cifar_1arg,classification,XorNeuronConv,cifar10,42,19f41095455dc81cea85074ac5a01577e8c4e7df1b4c2f8aeb07268e7e31c31a,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_1arg_20260404_171200_6897123b,cnn_cifar_1arg,classification,XorNeuronConv,cifar10,43,6897123b7aea51e9c286a4b10a4869db77057d33775974e06de2ba05d1709023,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_1arg_20260404_171416_24035779,cnn_cifar_1arg,classification,XorNeuronConv,cifar10,44,240357796ebaaa6539eca7e95250b7bbfb4f4bd865aa53cae606b7b2c5054807,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_1arg_20260404_171416_e849e212,cnn_cifar_1arg,classification,XorNeuronConv,cifar10,45,e849e212c0f87b99a70b3169b6dee419b926ffd5adff329e92c4c0dc2bb99d06,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_2arg_20260305_085311_e1252721,cnn_cifar_2arg,classification,XorNeuronConv,cifar10,1234,e12527218061581351ae0ac6dce2166e032cbbc2ba2e6c6aed3d0f66b12f3dd7,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
exp/cnn_cifar_2arg_20260404_172455_9a5b0541,cnn_cifar_2arg,classification,XorNeuronConv,cifar10,42,9a5b05419b25238f4f7ae5b6f09e73f61f67ce23028d9964292b3cb4a64d99bc,PRETRAIN_DONE;PHASE1_DONE;PHASE2_DONE;TEST_DONE;COMPLETED,test_results.p,raw-verified,
